zone,carbonIntensity,datetime,updatedAt,createdAt,emissionFactorType,flowTraced,isEstimated,estimationMethod
IN-WE,531,2026-08-30T03:00:00.000Z,2026-08-31T05:20:09.085Z,2026-08-29T18:20:13.429Z,lifecycle,True,False,
IN-WE,486,2026-08-30T04:00:00.000Z,2026-08-31T05:20:10.705Z,2026-08-29T18:20:22.493Z,lifecycle,True,False,
IN-WE,469,2026-08-30T05:00:00.000Z,2026-08-31T05:20:06.131Z,2026-08-29T21:19:55.119Z,lifecycle,True,False,
IN-WE,459,2026-08-30T06:00:00.000Z,2026-08-31T05:20:14.731Z,2026-08-29T22:19:47.438Z,lifecycle,True,False,
IN-WE,465,2026-08-30T07:00:00.000Z,2026-08-31T05:20:04.432Z,2026-08-29T23:20:30.296Z,lifecycle,True,False,
IN-WE,467,2026-08-30T08:00:00.000Z,2026-08-31T05:20:05.651Z,2026-08-30T00:19:37.403Z,lifecycle,True,False,
IN-WE,474,2026-08-30T09:00:00.000Z,2026-08-31T05:20:06.131Z,2026-08-30T00:19:21.065Z,lifecycle,True,False,
IN-WE,492,2026-08-30T10:00:00.000Z,2026-08-31T05:20:09.085Z,2026-08-30T00:19:31.899Z,lifecycle,True,False,
IN-WE,534,2026-08-30T11:00:00.000Z,2026-08-31T05:20:04.882Z,2026-08-30T03:20:02.343Z,lifecycle,True,False,
IN-WE,585,2026-08-30T12:00:00.000Z,2026-08-31T05:20:09.085Z,2026-08-30T04:20:06.324Z,lifecycle,True,False,
IN-WE,621,2026-08-30T13:00:00.000Z,2026-08-31T05:20:14.016Z,2026-08-30T05:19:38.730Z,lifecycle,True,False,
IN-WE,631,2026-08-30T14:00:00.000Z,2026-08-31T05:20:17.080Z,2026-08-30T06:19:55.000Z,lifecycle,True,False,
IN-WE,633,2026-08-30T15:00:00.000Z,2026-08-31T05:20:07.223Z,2026-08-30T06:20:00.529Z,lifecycle,True,False,
IN-WE,633,2026-08-30T16:00:00.000Z,2026-08-31T05:20:11.749Z,2026-08-30T06:20:08.031Z,lifecycle,True,False,
IN-WE,636,2026-08-30T17:00:00.000Z,2026-08-31T05:20:13.584Z,2026-08-30T09:20:26.246Z,lifecycle,True,False,
IN-WE,632,2026-08-30T18:00:00.000Z,2026-09-02T02:19:34.048Z,2026-08-30T10:20:12.610Z,lifecycle,True,False,
IN-WE,628,2026-08-30T19:00:00.000Z,2026-09-02T02:19:37.462Z,2026-08-30T11:19:39.771Z,lifecycle,True,False,
IN-WE,627,2026-08-30T20:00:00.000Z,2026-09-02T02:19:39.462Z,2026-08-30T12:20:08.634Z,lifecycle,True,False,
IN-WE,632,2026-08-30T21:00:00.000Z,2026-09-02T02:19:36.316Z,2026-08-30T12:19:59.177Z,lifecycle,True,False,
IN-WE,636,2026-08-30T22:00:00.000Z,2026-09-02T02:19:29.796Z,2026-08-30T12:20:07.479Z,lifecycle,True,False,
IN-WE,639,2026-08-30T23:00:00.000Z,2026-09-02T02:19:35.966Z,2026-08-30T15:20:10.283Z,lifecycle,True,False,
IN-WE,642,2026-08-31T00:00:00.000Z,2026-09-02T02:19:25.215Z,2026-08-30T16:19:42.542Z,lifecycle,True,False,
IN-WE,635,2026-08-31T01:00:00.000Z,2026-09-02T02:19:28.892Z,2026-08-30T17:19:48.001Z,lifecycle,True,False,
IN-WE,601,2026-08-31T02:00:00.000Z,2026-09-02T02:19:38.312Z,2026-08-30T18:20:05.389Z,lifecycle,True,False,
IN-WE,549,2026-08-31T03:00:00.000Z,2026-09-02T02:19:29.345Z,2026-08-30T18:20:16.317Z,lifecycle,True,False,
IN-WE,509,2026-08-31T04:00:00.000Z,2026-09-02T02:19:32.326Z,2026-08-30T18:20:06.623Z,lifecycle,True,False,
IN-WE,483,2026-08-31T05:00:00.000Z,2026-09-02T02:19:29.345Z,2026-08-30T21:19:52.628Z,lifecycle,True,False,
IN-WE,468,2026-08-31T06:00:00.000Z,2026-09-02T02:19:31.541Z,2026-08-30T22:19:48.839Z,lifecycle,True,False,
IN-WE,461,2026-08-31T07:00:00.000Z,2026-09-02T02:19:25.215Z,2026-08-30T23:19:46.618Z,lifecycle,True,False,
IN-WE,461,2026-08-31T08:00:00.000Z,2026-09-02T02:19:37.071Z,2026-08-31T00:20:13.801Z,lifecycle,True,False,
IN-WE,482,2026-08-31T09:00:00.000Z,2026-09-02T02:19:33.224Z,2026-08-31T00:20:03.590Z,lifecycle,True,False,
IN-WE,513,2026-08-31T10:00:00.000Z,2026-09-02T02:19:34.815Z,2026-08-31T00:20:14.472Z,lifecycle,True,False,
IN-WE,553,2026-08-31T11:00:00.000Z,2026-09-02T02:19:36.757Z,2026-08-31T03:19:54.365Z,lifecycle,True,False,
IN-WE,600,2026-08-31T12:00:00.000Z,2026-09-02T02:19:29.345Z,2026-08-31T04:19:34.585Z,lifecycle,True,False,
IN-WE,624,2026-08-31T13:00:00.000Z,2026-09-02T02:19:32.326Z,2026-08-31T05:20:13.584Z,lifecycle,True,False,
IN-WE,630,2026-08-31T14:00:00.000Z,2026-09-02T02:19:37.071Z,2026-08-31T06:20:01.585Z,lifecycle,True,False,
IN-WE,632,2026-08-31T15:00:00.000Z,2026-09-02T02:19:31.541Z,2026-08-31T06:19:59.093Z,lifecycle,True,False,
IN-WE,636,2026-08-31T16:00:00.000Z,2026-09-02T02:19:32.326Z,2026-08-31T06:19:59.742Z,lifecycle,True,False,
IN-WE,639,2026-08-31T17:00:00.000Z,2026-09-02T02:19:29.796Z,2026-08-31T09:20:12.696Z,lifecycle,True,False,
IN-WE,637,2026-08-31T18:00:00.000Z,2026-09-02T09:04:50.659Z,2026-08-31T10:20:11.047Z,lifecycle,True,False,
IN-WE,637,2026-08-31T19:00:00.000Z,2026-09-02T09:04:47.396Z,2026-08-31T11:20:05.719Z,lifecycle,True,False,
IN-WE,640,2026-08-31T20:00:00.000Z,2026-09-02T09:04:47.808Z,2026-08-31T12:20:00.622Z,lifecycle,True,False,
IN-WE,645,2026-08-31T21:00:00.000Z,2026-09-02T09:04:40.637Z,2026-08-31T12:20:02.908Z,lifecycle,True,False,
IN-WE,651,2026-08-31T22:00:00.000Z,2026-09-02T09:04:49.639Z,2026-08-31T12:19:57.138Z,lifecycle,True,False,
IN-WE,655,2026-08-31T23:00:00.000Z,2026-09-02T09:04:48.557Z,2026-08-31T15:21:11.301Z,lifecycle,True,False,
IN-WE,654,2026-09-01T00:00:00.000Z,2026-09-02T09:04:41.335Z,2026-08-31T16:20:22.965Z,lifecycle,True,False,
IN-WE,646,2026-09-01T01:00:00.000Z,2026-09-02T09:04:45.871Z,2026-08-31T17:20:50.250Z,lifecycle,True,False,
IN-WE,611,2026-09-01T02:00:00.000Z,2026-09-02T09:04:42.939Z,2026-08-31T18:19:45.224Z,lifecycle,True,False,
IN-WE,545,2026-09-01T03:00:00.000Z,2026-09-02T09:04:43.767Z,2026-08-31T18:19:51.953Z,lifecycle,True,False,
IN-WE,496,2026-09-01T04:00:00.000Z,2026-09-02T09:04:40.000Z,2026-08-31T18:19:54.152Z,lifecycle,True,False,
IN-WE,470,2026-09-01T05:00:00.000Z,2026-09-02T09:04:44.565Z,2026-08-31T21:20:11.622Z,lifecycle,True,False,
IN-WE,468,2026-09-01T06:00:00.000Z,2026-09-02T09:04:47.808Z,2026-08-31T22:19:42.339Z,lifecycle,True,False,
IN-WE,463,2026-09-01T07:00:00.000Z,2026-09-02T09:04:45.871Z,2026-08-31T23:19:45.449Z,lifecycle,True,False,
IN-WE,468,2026-09-01T08:00:00.000Z,2026-09-02T09:04:47.808Z,2026-09-01T00:20:00.438Z,lifecycle,True,False,
IN-WE,489,2026-09-01T09:00:00.000Z,2026-09-02T09:04:44.171Z,2026-09-01T00:19:49.810Z,lifecycle,True,False,
IN-WE,517,2026-09-01T10:00:00.000Z,2026-09-02T09:04:44.171Z,2026-09-01T00:19:49.328Z,lifecycle,True,False,
IN-WE,555,2026-09-01T11:00:00.000Z,2026-09-02T09:04:51.566Z,2026-09-01T03:20:03.221Z,lifecycle,True,False,
IN-WE,600,2026-09-01T12:00:00.000Z,2026-09-02T09:04:50.975Z,2026-09-01T04:19:50.116Z,lifecycle,True,False,
IN-WE,630,2026-09-01T13:00:00.000Z,2026-09-02T09:04:46.232Z,2026-09-01T05:19:28.468Z,lifecycle,True,False,
IN-WE,637,2026-09-01T14:00:00.000Z,2026-09-02T09:04:44.565Z,2026-09-01T06:19:57.365Z,lifecycle,True,False,
IN-WE,639,2026-09-01T15:00:00.000Z,2026-09-02T09:04:49.936Z,2026-09-01T06:19:56.002Z,lifecycle,True,False,
IN-WE,642,2026-09-01T16:00:00.000Z,2026-09-02T09:04:46.595Z,2026-09-01T06:19:36.279Z,lifecycle,True,False,
IN-WE,647,2026-09-01T17:00:00.000Z,2026-09-02T09:04:42.287Z,2026-09-01T09:19:55.719Z,lifecycle,True,False,
IN-WE,660,2026-09-01T18:00:00.000Z,2026-09-03T06:34:42.238Z,2026-09-01T10:21:08.746Z,lifecycle,True,False,
