zone,datetime,updatedAt,createdAt,unit,value,flowTraced,isEstimated,estimationMethod
IN-WE,2026-08-30T03:00:00.000Z,2026-08-31T05:20:09.085Z,2026-08-29T18:20:13.429Z,%,33,True,False,
IN-WE,2026-08-30T04:00:00.000Z,2026-08-31T05:20:10.705Z,2026-08-29T18:20:22.493Z,%,39,True,False,
IN-WE,2026-08-30T05:00:00.000Z,2026-08-31T05:20:06.131Z,2026-08-29T21:19:55.119Z,%,41,True,False,
IN-WE,2026-08-30T06:00:00.000Z,2026-08-31T05:20:14.731Z,2026-08-29T22:19:47.438Z,%,43,True,False,
IN-WE,2026-08-30T07:00:00.000Z,2026-08-31T05:20:04.432Z,2026-08-29T23:20:30.296Z,%,42,True,False,
IN-WE,2026-08-30T08:00:00.000Z,2026-08-31T05:20:05.651Z,2026-08-30T00:19:37.403Z,%,41,True,False,
IN-WE,2026-08-30T09:00:00.000Z,2026-08-31T05:20:06.131Z,2026-08-30T00:19:21.065Z,%,41,True,False,
IN-WE,2026-08-30T10:00:00.000Z,2026-08-31T05:20:09.085Z,2026-08-30T00:19:31.899Z,%,38,True,False,
IN-WE,2026-08-30T11:00:00.000Z,2026-08-31T05:20:04.882Z,2026-08-30T03:20:02.343Z,%,33,True,False,
IN-WE,2026-08-30T12:00:00.000Z,2026-08-31T05:20:09.085Z,2026-08-30T04:20:06.324Z,%,26,True,False,
IN-WE,2026-08-30T13:00:00.000Z,2026-08-31T05:20:14.016Z,2026-08-30T05:19:38.730Z,%,22,True,False,
IN-WE,2026-08-30T14:00:00.000Z,2026-08-31T05:20:17.080Z,2026-08-30T06:19:55.000Z,%,20,True,False,
IN-WE,2026-08-30T15:00:00.000Z,2026-08-31T05:20:07.223Z,2026-08-30T06:20:00.529Z,%,20,True,False,
IN-WE,2026-08-30T16:00:00.000Z,2026-08-31T05:20:11.749Z,2026-08-30T06:20:08.031Z,%,20,True,False,
IN-WE,2026-08-30T17:00:00.000Z,2026-08-31T05:20:13.584Z,2026-08-30T09:20:26.246Z,%,20,True,False,
IN-WE,2026-08-30T18:00:00.000Z,2026-09-02T02:19:34.048Z,2026-08-30T10:20:12.610Z,%,20,True,False,
IN-WE,2026-08-30T19:00:00.000Z,2026-09-02T02:19:37.462Z,2026-08-30T11:19:39.771Z,%,21,True,False,
IN-WE,2026-08-30T20:00:00.000Z,2026-09-02T02:19:39.462Z,2026-08-30T12:20:08.634Z,%,21,True,False,
IN-WE,2026-08-30T21:00:00.000Z,2026-09-02T02:19:36.316Z,2026-08-30T12:19:59.177Z,%,20,True,False,
IN-WE,2026-08-30T22:00:00.000Z,2026-09-02T02:19:29.796Z,2026-08-30T12:20:07.479Z,%,20,True,False,
IN-WE,2026-08-30T23:00:00.000Z,2026-09-02T02:19:35.966Z,2026-08-30T15:20:10.283Z,%,19,True,False,
IN-WE,2026-08-31T00:00:00.000Z,2026-09-02T02:19:25.215Z,2026-08-30T16:19:42.542Z,%,19,True,False,
IN-WE,2026-08-31T01:00:00.000Z,2026-09-02T02:19:28.892Z,2026-08-30T17:19:48.001Z,%,20,True,False,
IN-WE,2026-08-31T02:00:00.000Z,2026-09-02T02:19:38.312Z,2026-08-30T18:20:05.389Z,%,24,True,False,
IN-WE,2026-08-31T03:00:00.000Z,2026-09-02T02:19:29.345Z,2026-08-30T18:20:16.317Z,%,31,True,False,
IN-WE,2026-08-31T04:00:00.000Z,2026-09-02T02:19:32.326Z,2026-08-30T18:20:06.623Z,%,36,True,False,
IN-WE,2026-08-31T05:00:00.000Z,2026-09-02T02:19:29.345Z,2026-08-30T21:19:52.628Z,%,40,True,False,
IN-WE,2026-08-31T06:00:00.000Z,2026-09-02T02:19:31.541Z,2026-08-30T22:19:48.839Z,%,42,True,False,
IN-WE,2026-08-31T07:00:00.000Z,2026-09-02T02:19:25.215Z,2026-08-30T23:19:46.618Z,%,42,True,False,
IN-WE,2026-08-31T08:00:00.000Z,2026-09-02T02:19:37.071Z,2026-08-31T00:20:13.801Z,%,42,True,False,
IN-WE,2026-08-31T09:00:00.000Z,2026-09-02T02:19:33.224Z,2026-08-31T00:20:03.590Z,%,40,True,False,
IN-WE,2026-08-31T10:00:00.000Z,2026-09-02T02:19:34.815Z,2026-08-31T00:20:14.472Z,%,36,True,False,
IN-WE,2026-08-31T11:00:00.000Z,2026-09-02T02:19:36.757Z,2026-08-31T03:19:54.365Z,%,31,True,False,
IN-WE,2026-08-31T12:00:00.000Z,2026-09-02T02:19:29.345Z,2026-08-31T04:19:34.585Z,%,24,True,False,
IN-WE,2026-08-31T13:00:00.000Z,2026-09-02T02:19:32.326Z,2026-08-31T05:20:13.584Z,%,21,True,False,
IN-WE,2026-08-31T14:00:00.000Z,2026-09-02T02:19:37.071Z,2026-08-31T06:20:01.585Z,%,20,True,False,
IN-WE,2026-08-31T15:00:00.000Z,2026-09-02T02:19:31.541Z,2026-08-31T06:19:59.093Z,%,20,True,False,
IN-WE,2026-08-31T16:00:00.000Z,2026-09-02T02:19:32.326Z,2026-08-31T06:19:59.742Z,%,19,True,False,
IN-WE,2026-08-31T17:00:00.000Z,2026-09-02T02:19:29.796Z,2026-08-31T09:20:12.696Z,%,19,True,False,
IN-WE,2026-08-31T18:00:00.000Z,2026-09-02T09:04:50.659Z,2026-08-31T10:20:11.047Z,%,19,True,False,
IN-WE,2026-08-31T19:00:00.000Z,2026-09-02T09:04:47.396Z,2026-08-31T11:20:05.719Z,%,19,True,False,
IN-WE,2026-08-31T20:00:00.000Z,2026-09-02T09:04:47.808Z,2026-08-31T12:20:00.622Z,%,19,True,False,
IN-WE,2026-08-31T21:00:00.000Z,2026-09-02T09:04:40.637Z,2026-08-31T12:20:02.908Z,%,18,True,False,
IN-WE,2026-08-31T22:00:00.000Z,2026-09-02T09:04:49.639Z,2026-08-31T12:19:57.138Z,%,18,True,False,
IN-WE,2026-08-31T23:00:00.000Z,2026-09-02T09:04:48.557Z,2026-08-31T15:21:11.301Z,%,17,True,False,
IN-WE,2026-09-01T00:00:00.000Z,2026-09-02T09:04:41.335Z,2026-08-31T16:20:22.965Z,%,17,True,False,
IN-WE,2026-09-01T01:00:00.000Z,2026-09-02T09:04:45.871Z,2026-08-31T17:20:50.250Z,%,18,True,False,
IN-WE,2026-09-01T02:00:00.000Z,2026-09-02T09:04:42.939Z,2026-08-31T18:19:45.224Z,%,23,True,False,
IN-WE,2026-09-01T03:00:00.000Z,2026-09-02T09:04:43.767Z,2026-08-31T18:19:51.953Z,%,32,True,False,
IN-WE,2026-09-01T04:00:00.000Z,2026-09-02T09:04:40.000Z,2026-08-31T18:19:54.152Z,%,38,True,False,
IN-WE,2026-09-01T05:00:00.000Z,2026-09-02T09:04:44.565Z,2026-08-31T21:20:11.622Z,%,41,True,False,
IN-WE,2026-09-01T06:00:00.000Z,2026-09-02T09:04:47.808Z,2026-08-31T22:19:42.339Z,%,42,True,False,
IN-WE,2026-09-01T07:00:00.000Z,2026-09-02T09:04:45.871Z,2026-08-31T23:19:45.449Z,%,42,True,False,
IN-WE,2026-09-01T08:00:00.000Z,2026-09-02T09:04:47.808Z,2026-09-01T00:20:00.438Z,%,41,True,False,
IN-WE,2026-09-01T09:00:00.000Z,2026-09-02T09:04:44.171Z,2026-09-01T00:19:49.810Z,%,39,True,False,
IN-WE,2026-09-01T10:00:00.000Z,2026-09-02T09:04:44.171Z,2026-09-01T00:19:49.328Z,%,35,True,False,
IN-WE,2026-09-01T11:00:00.000Z,2026-09-02T09:04:51.566Z,2026-09-01T03:20:03.221Z,%,30,True,False,
